bairro,metragem,quartos,banheiros,vagas,valor_anuncio,valor_mm,valor_m2,rua,cep,setor_censo,nome_do_distrito,situacao_setor,tipo_setor,v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012
Vila Clarice,99,3,2,2,650000.0,0.65,6565.656565656565,Rua Major Alfredo Romão,5177030.0,355030.863000156,PIRITUBA,1.0,0.0,250.0,783.0,3.13,1.75,1424.05,2556827.22,1816.39,2548575.98,1045.57,1809840.34,1580.52,1890486.2
Jardim América,663,4,7,6,14500000.0,14.5,21870.286576168928,Rua Bolívia,1437040.0,355030.845000025,JARDIM PAULISTA,1.0,0.0,140.04651162790697,434.90697674418607,3.1418604651162796,2.630232558139535,9033.24046511628,266588627.64046514,10071.55046511628,283340047.14441866,5541.238604651163,190345905.6916279,7288.641860465115,232339991.88441858
Jardim Paulista,420,4,6,3,8700000.0,8.7,20714.28571428572,Rua General Fonseca Teles,1433020.0,355030.845000074,JARDIM PAULISTA,1.0,0.0,184.0,543.0,2.95,1.81,15387.8,1781723643.14,19392.85,1374996829.42,7373.45,835851438.79,12484.01,1353166485.89
Tucuruvi,211,3,3,3,1237000.0,1.237,5862.559241706161,Rua Pataíba,2342040.0,355030.882000144,TUCURUVI,1.0,0.0,146.0,398.0,2.73,1.32,2316.92,5271825.61,2543.38,5210668.01,1472.98,3410370.72,1993.79,3578408.56
Parque Continental,180,3,4,4,950000.0,0.95,5277.777777777777,Rua Doutor Milton de Souza Meirelles,5324020.0,355030.841000024,JAGUARÉ,1.0,0.0,98.0,308.0,3.14,1.92,5325.51,18976507.47,5930.68,17527381.14,3041.51,14162700.53,4475.6,14423431.02
Penha de França,150,4,1,5,510000.0,0.51,3400.0,Avenida Amador Bueno da Veiga,3636000.0,355030.864000131,PONTE RASA,1.0,0.0,195.0,646.0,3.31,2.43,1461.17,1878436.04,1600.72,1834208.62,882.07,1922020.18,1381.17,2321324.08
Perdizes,452,4,6,2,4240000.0,4.24,9380.530973451328,Rua Doutor Franco da Rocha,5015040.0,355030.860000098,PERDIZES,1.0,0.0,261.0,632.0,2.42,1.36,5728.56,42626660.99,6674.8,43354988.96,4340.04,33397829.67,5733.63,36137852.81
Conjunto Residencial José Bonifácio,129,3,2,2,490000.0,0.49,3798.4496124031007,Rua Caetano Braga,8250490.0,355030.837000117,ITAQUERA,1.0,0.0,235.0,753.0,3.2,2.36,969.26,1016560.41,1309.05,927618.56,807.05,903591.68,1193.73,874874.79
Planalto Paulista,250,3,4,4,2190000.0,2.19,8760.0,Rua Francisco de Paula Brito,4071050.0,355030.877000123,SAÚDE,1.0,0.0,245.0,733.0,2.99,1.93,2926.73,15099968.8,4596.47,16045842.33,1846.16,9062308.25,3451.97,11408075.84
Cidade Vargas,250,3,3,5,2180000.0,2.18,8720.0,Rua dos Comerciários,4320030.0,355030.838000092,JABAQUARA,1.0,0.0,207.0,687.0,3.32,2.25,1991.76,6544204.28,2593.05,6963281.3,1616.76,7252736.45,2502.12,9013367.49
Jardim Maria Luiza,152,2,3,2,398000.0,0.398,2618.4210526315787,Rua Francisco Correia Dutra,5371070.0,355030.867000087,RIO PEQUENO,1.0,0.0,162.0,521.0,3.22,2.02,1537.78,2579774.67,1730.0,2569631.62,997.33,1818374.12,1443.67,1988310.99
Mirandópolis,192,4,2,2,950000.0,0.95,4947.916666666667,Rua Joaquim de Almeida,4050010.0,355030.877000156,SAÚDE,1.0,0.0,179.0,457.0,2.55,1.71,3965.03,10291324.02,4150.53,10001176.78,2502.95,7845768.7,3355.35,7657023.32
Planalto Paulista,184,4,3,4,1390000.0,1.39,7554.347826086957,Rua Elisa Rodrigues,4058050.0,355030.877000156,SAÚDE,1.0,0.0,179.0,457.0,2.55,1.71,3965.03,10291324.02,4150.53,10001176.78,2502.95,7845768.7,3355.35,7657023.32
Jardim do Carmo,100,2,2,1,530000.0,0.53,5300.0,Rua José Sebastião de Sá,4674020.0,355030.874000092,SÃO MIGUEL,1.0,0.0,137.0,431.0,3.15,1.82,999.9,624336.72,1113.71,568192.5,744.86,578364.23,1036.56,502230.98
Jardim Prudência,253,4,4,2,1280000.0,1.28,5059.288537549407,Rua Amandaba,4648140.0,355030.822000266,CIDADE ADEMAR,1.0,0.0,180.57142857142858,550.1904761904761,3.105238095238095,1.9023809523809525,5595.378095238096,656201119.840476,6721.153333333335,975327732.0404761,3134.1709523809523,416252092.9033333,5268.226190476191,806218696.4819047
Jardim Leonor,850,4,8,6,6500000.0,6.5,7647.058823529412,Rua Cordisburgo,5614090.0,355030.854000005,MORUMBI,1.0,0.0,91.0,317.0,3.48,1.94,15551.65,216966660.59,16266.67,215291924.81,7283.37,116116620.38,9529.34,130584612.39
Alto de Pinheiros,400,5,4,4,2900000.0,2.9,7250.0,Rua Carlos Rath,5462030.0,355030.80200006,ALTO DE PINHEIROS,1.0,0.0,177.0,572.0,3.23,2.02,10595.5,85420165.04,11648.47,81620039.69,6028.0,57990851.54,8262.92,61032318.85
Vila Suzana,140,3,4,2,775000.0,0.775,5535.714285714285,Rua Luís Ramos Figueira,5630120.0,355030.839000022,JAÇANÃ,1.0,0.0,254.0,787.0,3.1,2.93,2209.66,245534455.74,2408.82,267277764.25,1255.11,91130097.86,1768.33,127560022.76
Alto da Lapa,500,5,7,7,3500000.0,3.5,7000.0,Rua dos Aliados,5082000.0,355030.848000053,LAPA,1.0,0.0,202.0,602.0,2.98,1.71,6405.26,36047301.16,6774.15,35622188.69,3867.12,25115929.0,5095.83,26839026.77
Jardim das Vertentes,84,3,3,2,470000.0,0.47,5595.238095238095,Rua José Barbosa,5541220.0,355030.894000038,VILA SÔNIA,1.0,0.0,160.375,527.25,3.28125,2.305,2997.9025,54047664.379999995,3508.5312500000005,65869029.08875,1945.36875,49721871.62375,2991.6387500000005,78618245.54875
Alto da Lapa,243,3,5,3,2400000.0,2.4,9876.543209876543,Rua Iagari,5084040.0,355030.888000036,VILA LEOPOLDINA,1.0,0.0,201.0,573.0,2.85,1.71,4354.83,18017011.66,4558.96,17930474.85,2464.6,11821596.44,3659.56,13184006.17
Campo Belo,145,4,3,2,1350000.0,1.35,9310.344827586208,Rua Júlio Rua Perez,4617030.0,355030.815000119,CAMPO BELO,1.0,0.0,95.0,239.0,2.52,1.08,6849.89,67394103.18,7311.69,68574318.72,4099.87,39625456.68,5523.77,45557782.67
Vila Regente Feijó,150,3,2,2,800000.0,0.8,5333.333333333333,Rua Marechal Barbacena,3333000.0,355030.801000106,ÁGUA RASA,1.0,0.0,181.0,545.0,3.01,2.1,2710.61,12583530.18,3270.8,13357006.07,2253.01,13213906.34,3114.65,15590432.1
Vila Tolstoi,240,3,3,7,890000.0,0.89,3708.3333333333335,Rua Plínio Mota,3268050.0,355030.876000246,SAPOPEMBA,1.0,0.0,142.0,458.0,3.23,2.18,1216.13,1310761.84,1308.26,1289369.08,658.02,862008.38,1146.76,942118.86
Terceira Divisão de Interlagos,167,3,4,2,630000.0,0.63,3772.4550898203593,Rua Belarmino Cardoso de Andrade,4809270.0,355030.878000004,SÉ,1.0,0.0,229.0,618.0,2.7,2.09,1584.1,1790007.16,1641.44,1760545.19,1056.4,1354118.08,1461.52,1281139.7
Vila Formosa,256,4,3,1,1063830.0,1.06383,4155.5859375,Rua Camberra,3357010.0,355030.885000088,VILA FORMOSA,1.0,0.0,297.0,950.0,3.2,1.75,3958.05,36900007.53,4213.41,38209416.57,2305.12,18769453.72,3132.79,22922356.15
Jardim Paulista,360,4,5,4,1800000.0,1.8,5000.0,Rua Marechal Bitencourt,1432020.0,355030.845000045,JARDIM PAULISTA,1.0,0.0,284.0,933.0,3.29,2.54,6918.36,116870875.01,7675.06,123873294.66,3194.38,53470273.57,5997.32,83644284.88
Vila Mariana,250,3,3,1,1350000.0,1.35,5400.0,Rua Pero Correia,4113040.0,355030.890000113,VILA MARIANA,1.0,0.0,188.0,634.0,3.37,2.23,4970.94,34590015.85,5163.18,34937066.75,2515.52,18065698.74,3646.53,22074354.68
Jardim Imperador (Zona Leste),186,3,3,2,750000.0,0.75,4032.258064516129,Avenida Ouro Verde de Minas,3937090.0,355030.873000198,SÃO MATEUS SÃO LUÍS,1.0,0.0,265.0,909.0,3.43,2.19,1167.47,1154383.27,1310.93,1107973.01,718.42,764376.49,1129.35,737458.86
Jardim Europa,756,5,4,10,30000000.0,37.0,48941.79894179895,Rua Inglaterra,1447020.0,355030.86200011,PINHEIROS,1.0,0.0,115.0,360.0,3.13,2.87,21545.71,1577883376.43,26081.65,1374996829.42,11050.67,882338714.47,15470.93,1168079134.43
Vila Aricanduva,500,4,3,4,1200000.0,1.2,2400.0,Avenida Ibiúna,3507010.0,355030.891000122,VILA MATILDE,1.0,0.0,245.0,712.0,2.91,2.14,1298.66,2784047.11,1701.45,2963176.04,1206.53,3399710.18,1666.28,3930223.54
Vila Mazzei,80,3,1,2,420000.0,0.42,5250.0,Rua Coronel Octávio Azeredo,2311110.0,355030.882000154,TUCURUVI,1.0,0.0,321.0,949.0,2.96,1.78,2259.86,9779607.76,2600.06,10369395.71,1500.14,5868106.41,2160.7,7026711.07
Pirituba,190,3,2,4,920000.0,0.92,4842.105263157895,Rua Drosera,2945120.0,355030.863000001,PIRITUBA,1.0,0.0,781.0,2488.0,3.19,2.01,2105.96,16813293.59,2265.51,17726841.11,1230.19,7467045.91,1815.16,9957584.49
Mooca,170,3,2,2,940000.0,0.94,5529.411764705882,Rua Timbó,3162150.0,355030.875000028,MOOCA,1.0,0.0,221.8181818181818,692.1818181818181,3.109545454545455,2.3004545454545453,2435.689090909091,209685054.90727273,2674.2368181818183,230278945.3522727,1460.933181818182,69059183.84545454,2032.3559090909084,100293160.42409088
Boaçava,1192,4,3,6,6200000.0,6.2,5201.342281879195,Rua Prudentópolis,5471020.0,355030.802000061,ALTO DE PINHEIROS,1.0,0.0,195.0,609.0,3.12,2.1,10499.97,185556910.44,12187.47,194867672.15,5441.59,97050585.29,8361.09,124787545.37
Jardim Paulista,724,4,6,3,8000000.0,8.0,11049.723756906078,Rua José Clemente,1428020.0,355030.84500007,JARDIM PAULISTA,1.0,0.0,274.0,749.0,2.73,2.21,7705.53,279935613.8,8984.32,315053382.91,5702.65,170997909.37,7740.12,216413337.63
Vila Califórnia,300,6,3,2,430000.0,0.43,1433.3333333333333,Rua Araripe,3215010.0,355030.89300014,VILA PRUDENTE,1.0,0.0,294.0,926.0,3.15,2.26,1278.18,1128838.91,1418.05,1053737.32,802.68,879400.95,1210.72,832329.8
Vila Carolina,120,4,3,2,650000.0,0.65,5416.666666666667,Rua Lavras do Sul,2724030.0,355030.850000028,LIMÃO,1.0,0.0,217.0,614.0,2.83,2.15,1243.04,3162321.26,1654.85,3530747.35,1049.79,2077835.67,1533.67,2294029.04
Vila Romana,160,3,4,2,940000.0,0.94,5875.0,Rua Marco Aurélio,5048000.0,355030.848000043,LAPA,1.0,0.0,258.0,735.0,2.85,1.7,3120.58,25214302.16,3500.47,26961649.12,2101.21,13613492.83,2869.12,16391051.43
Planalto Paulista,200,4,6,3,2014000.0,2.014,10070.0,Alameda dos Guainumbis,4067000.0,355030.877000099,SAÚDE,1.0,0.0,256.0,720.0,2.81,1.6,4249.33,24499871.44,5180.14,25047413.33,2618.76,17705032.31,3977.93,21495997.85
Vila Gustavo,217,5,3,2,670000.0,0.67,3087.557603686636,Avenida Júlio Buono,2201000.0,355030.892000145,VILA MEDEIROS,1.0,0.0,190.0,604.0,3.18,3.54,1799.25,4289590.59,1964.7,4359381.81,1124.13,2650223.66,1669.71,3026506.01
Vila Leopoldina,167,2,2,2,820000.0,0.82,4910.179640718563,Rua Monsenhor Moura,5089020.0,355030.888000032,VILA LEOPOLDINA,1.0,0.0,254.0,720.0,2.83,1.92,2292.57,15716297.5,4313.42,20891455.08,1571.18,9793331.84,3488.55,15073587.31
Vila Madalena,440,4,5,4,3950000.0,3.95,8977.272727272728,Rua dos Tamanás,5444010.0,355030.862000022,PINHEIROS,1.0,0.0,164.0,566.0,3.45,2.16,4797.07,58824398.74,9594.15,71783007.29,3164.64,31831580.31,6063.71,43453498.5
Vila Mariana,250,3,5,2,2450000.0,2.45,9800.0,Praça Doutor Carvalho Franco,4019060.0,355030.890000064,VILA MARIANA,1.0,0.0,247.0,660.0,2.67,1.64,5306.4,41682622.11,5903.96,42853871.75,3642.49,27416317.37,4794.79,30571104.48
Vila São Paulo,250,5,6,2,486000.0,0.486,1944.0,Rua Maria Ramos,4651040.0,355030.822000184,CIDADE ADEMAR,1.0,0.0,228.0,672.0,2.95,1.94,3498.99,12630467.26,3745.4,12596883.45,2130.24,8425030.13,2941.76,9249137.66
